ProductID,ProductName,Total_Quantity_Sold,Total_Revenue
1001,Product_76,303,13032541.1277
1001,Product_94,261,13384522.845
1001,Product_35,230,11427312.9661
1001,Product_49,225,12521274.1572
1001,Product_17,328,17091491.0722
1001,Product_81,350,17536145.7263
1001,Product_98,275,16343443.1605
1001,Product_62,274,14040024.1789
1001,Product_3,321,18662885.5507
1001,Product_34,331,13871322.3912
1001,Product_74,216,12431475.967
1001,Product_51,218,11611320.7244
1001,Product_6,236,12060074.573
1001,Product_57,387,18647136.8471
1001,Product_19,345,16127994.2248
1001,Product_100,288,13691813.7633
1001,Product_46,293,16591080.8688
1001,Product_38,274,15242958.0248
1001,Product_43,278,12330655.7301
1001,Product_4,366,17128236.5926
1001,Product_67,279,14156477.5607
1001,Product_47,194,8759785.3323
1001,Product_69,279,14936234.7327
1001,Product_14,216,11967612.2673
1001,Product_7,230,12465437.4244
1001,Product_72,282,12791779.9362
1001,Product_5,297,15435731.5603
1001,Product_28,244,12899691.1575
1001,Product_54,318,15810423.1718
1001,Product_83,249,14647223.9251
1001,Product_80,255,13954432.8433
1001,Product_75,285,15188657.1432
1001,Product_97,303,15661893.9633
1001,Product_44,297,17045995.4155
1001,Product_41,252,13054521.1525
1001,Product_52,282,13825746.0988
1001,Product_32,289,12956716.6062
1001,Product_45,250,12541424.357
1001,Product_26,241,13386245.7265
1001,Product_53,271,13715374.8906
1001,Product_9,312,14859357.7352
1001,Product_16,391,18719286.5909
1001,Product_1,315,15110143.2448
1001,Product_88,309,16142723.9715
1001,Product_63,249,12376146.6778
1001,Product_56,236,14024561.0683
1001,Product_96,301,16588901.5657
1001,Product_30,197,9890087.4809
1001,Product_73,253,11647259.7461
1001,Product_90,234,10369395.2641
1001,Product_99,224,10594646.1898
1001,Product_77,176,10817194.6625
1001,Product_50,269,15755683.4521
1001,Product_11,257,12536604.6183
1001,Product_48,218,12095889.2605
1001,Product_91,267,13621553.0531
1001,Product_89,334,13941351.8902
1001,Product_18,276,13342220.3307
1001,Product_55,255,12763989.5473
1001,Product_8,287,15482197.2613
1001,Product_70,260,13993586.386
1001,Product_78,307,14860847.1035
1001,Product_13,354,18900219.2362
1001,Product_21,260,15275689.1538
1001,Product_82,267,14173671.1732
1001,Product_93,350,16006922.1315
1001,Product_27,289,12484224.4056
1001,Product_65,329,18480193.2832
1001,Product_25,319,15126200.3489
1001,Product_87,283,16094791.416
1001,Product_79,220,10322216.5392
1001,Product_23,235,11143766.3735
1001,Product_33,255,13227183.3199
1001,Product_59,265,14787513.2712
1001,Product_31,224,12125233.2481
1001,Product_92,235,15380042.1125
1001,Product_60,262,15142361.7561
1001,Product_66,276,13901260.3113
1001,Product_58,266,15544936.7414
1001,Product_15,304,13493649.8319
1001,Product_68,268,12786178.2363
1001,Product_24,269,15701559.8608
1001,Product_39,255,12525791.6102
1001,Product_64,174,8050946.9276
1001,Product_12,212,10236375.9322
1001,Product_85,253,13462021.1089
1001,Product_37,301,15050682.0695
1001,Product_20,329,18442991.0274
1001,Product_86,298,15682008.0804
1001,Product_22,292,13424900.8957
1001,Product_40,282,15143432.9986
1001,Product_84,140,7958604.0724
1001,Product_95,273,11931490.9156
1001,Product_29,177,10439497.8901
1001,Product_61,138,6466819.265
1001,Product_42,254,10594054.7809
1001,Product_36,214,10602990.7337
1001,Product_2,282,13746293.1719
1001,Product_10,333,17970659.8897
1001,Product_71,306,14243885.0214
1002,Product_21,297,13024186.697
1002,Product_25,218,9607871.1622
1002,Product_62,291,15293588.7264
1002,Product_94,291,16092186.9472
